Date,Open,Close,High,Low,Volume
2020-02-21,55.08,54.68,55.34,54.44,9078643
2020-02-20,55.40,55.51,55.87,54.88,6114630
2020-02-19,55.59,55.44,55.77,55.39,6819545
2020-02-18,55.42,55.45,55.76,55.10,7185651
2020-02-14,55.38,55.47,55.84,55.24,7496836
2020-02-13,55.31,55.31,55.64,55.01,8480140
2020-02-12,55.55,55.73,55.89,55.25,7541074
2020-02-11,55.17,55.15,55.54,55.11,8466579
2020-02-10,54.72,54.99,55.07,54.45,7198216
2020-02-07,54.27,54.72,54.97,54.19,7864760
2020-02-06,55.00,54.71,55.35,54.71,8832013
2020-02-05,54.67,54.74,55.03,54.58,9612932
2020-02-04,53.75,54.04,54.56,53.75,9769854
2020-02-03,52.73,53.09,53.41,52.69,8892516
2020-01-31,53.34,52.45,53.49,52.29,8884763
2020-01-30,52.82,53.31,53.33,52.28,7176193
2020-01-29,53.78,53.20,53.94,53.18,6332477
2020-01-28,52.86,53.46,53.68,52.66,8620547
2020-01-27,53.18,52.69,53.52,52.63,8259053
2020-01-24,55.06,54.07,55.20,53.88,6426029
2020-01-23,54.41,54.98,55.00,54.28,6583173
2020-01-22,55.41,54.72,55.65,54.60,6380481
2020-01-21,54.98,55.22,55.36,54.92,8773031
2020-01-17,55.63,55.13,55.69,54.85,11166619
2020-01-16,54.98,55.43,55.45,54.93,9866036
2020-01-15,54.88,54.76,55.18,54.68,9090815
2020-01-14,54.52,54.88,55.18,54.50,12627494
2020-01-13,54.46,54.58,54.79,54.36,10859994
2020-01-10,54.55,54.45,54.65,54.22,9734775
2020-01-09,54.25,54.38,54.80,54.03,10671019
2020-01-08,53.94,54.13,54.60,53.70,11857642
2020-01-07,53.89,54.16,54.33,53.61,12037347
2020-01-06,53.36,54.04,54.20,53.35,10982367
2020-01-03,52.99,53.76,54.05,52.95,11026717
2020-01-02,53.27,53.95,53.96,53.23,13206090
2019-12-31,52.57,52.98,53.00,52.55,7095128
2019-12-30,53.40,52.70,53.49,52.62,5936134
2019-12-27,53.66,53.46,53.80,53.34,7262263
2019-12-26,53.45,53.57,53.66,53.28,6702209
2019-12-24,53.78,53.44,53.96,53.36,3331654
2019-12-23,53.65,53.71,54.07,53.61,10591502
2019-12-20,53.91,53.60,53.95,53.35,27423669
2019-12-19,53.30,53.24,53.60,53.04,11910116
2019-12-18,53.06,53.39,53.61,52.95,14123168
2019-12-17,53.89,52.84,54.06,52.83,19782558
2019-12-16,54.60,53.99,54.98,53.70,19951519
2019-12-13,55.00,54.51,55.40,54.42,21432189
2019-12-12,56.30,56.47,56.66,55.76,15433071
2019-12-11,55.80,56.31,56.50,55.65,12159819
2019-12-10,55.40,55.82,55.91,55.23,10719907
2019-12-09,54.84,55.31,55.48,54.76,12128860
2019-12-06,55.03,54.83,55.13,54.61,9088555
2019-12-05,54.50,54.68,54.83,54.30,10557403
2019-12-04,54.90,54.41,54.90,54.18,11436874
2019-12-03,54.62,54.59,54.99,54.46,14320507
2019-12-02,56.23,55.43,56.46,55.38,14314182
2019-11-29,56.33,56.14,56.49,56.09,6479396
2019-11-27,56.90,56.61,56.91,56.38,5790026
2019-11-26,56.75,56.51,56.86,56.42,12078595
2019-11-25,56.46,56.56,56.68,56.28,7977693
2019-11-22,56.42,56.39,57.06,56.25,6346924
2019-11-21,56.22,56.23,56.59,56.12,8067136
2019-11-20,56.22,56.24,56.62,55.81,9117146
2019-11-19,56.47,56.27,56.95,56.26,7199492
2019-11-18,56.56,56.19,56.56,55.96,6924199
2019-11-15,56.40,56.42,56.56,56.27,7216865
2019-11-14,55.81,56.09,56.33,55.64,9056240
2019-11-13,56.21,56.21,56.56,56.17,6818251
2019-11-12,56.53,56.59,56.85,56.42,6184949
2019-11-11,56.20,56.43,56.61,56.18,5018039
2019-11-08,55.98,56.49,56.49,55.77,5869591
2019-11-07,55.96,55.98,56.63,55.86,9677704
2019-11-06,55.71,55.70,55.89,55.60,10572139
2019-11-05,55.76,55.67,55.84,55.51,10759319
2019-11-04,55.26,55.45,55.75,55.26,8757046
2019-11-01,54.81,55.00,55.15,54.55,7313584
2019-10-31,54.72,54.49,54.85,54.24,8260599
2019-10-30,55.18,54.85,55.18,54.45,6284896
2019-10-29,54.72,54.80,55.31,54.56,8333852
