ticker,date,open,close,high,low,volume
JPM,2020-02-21,136.55,135.81,136.92,134.92,9436223
JPM,2020-02-20,137.17,137.49,138.36,136.53,7422800
JPM,2020-02-19,136.91,137.49,138.39,136.34,7071399
JPM,2020-02-18,137.34,135.64,137.71,135.05,8997247
JPM,2020-02-14,137.84,137.46,138.19,136.94,6627891
JPM,2020-02-13,137.75,137.88,138.34,136.40,7447535
JPM,2020-02-12,138.60,138.00,139.29,137.80,7957984
JPM,2020-02-11,138.26,138.00,138.82,137.78,6578649
JPM,2020-02-10,136.95,137.74,137.85,136.75,5960700
JPM,2020-02-07,136.73,137.17,137.67,136.30,6379784
JPM,2020-02-06,138.24,137.61,138.29,137.11,8992592
JPM,2020-02-05,136.57,137.59,137.73,136.01,10150709
JPM,2020-02-04,135.55,135.29,136.60,135.08,9157126
JPM,2020-02-03,132.66,133.37,134.24,132.66,10021369
JPM,2020-01-31,134.49,132.36,134.83,131.47,12785242
JPM,2020-01-30,132.69,135.89,136.13,132.69,9048887
JPM,2020-01-29,134.81,134.23,135.54,133.69,9326173
JPM,2020-01-28,132.84,134.43,134.97,132.48,13062789
JPM,2020-01-27,130.27,132.03,132.94,129.71,12860456
JPM,2020-01-24,136.37,133.15,136.43,132.32,15166392
JPM,2020-01-23,135.71,136.54,136.74,134.72,9345683
JPM,2020-01-22,137.24,136.68,137.40,136.38,7549111
JPM,2020-01-21,137.19,136.84,138.07,136.69,8474247
JPM,2020-01-17,137.54,138.20,138.29,137.32,14697672
JPM,2020-01-16,137.45,137.25,137.90,136.84,10783752
JPM,2020-01-15,137.85,136.72,138.60,136.15,16293416
JPM,2020-01-14,137.94,138.80,140.76,137.69,24942958
JPM,2020-01-13,136.19,137.20,137.20,135.76,12381809
JPM,2020-01-10,137.21,136.07,137.25,135.81,10192026
JPM,2020-01-09,138.05,137.44,138.23,137.04,9470746
JPM,2020-01-08,135.70,136.94,137.58,135.60,9697731
JPM,2020-01-07,137.28,135.88,137.86,135.82,10576911
JPM,2020-01-06,136.56,138.23,138.27,136.50,10266522
JPM,2020-01-03,137.50,138.34,139.23,137.08,10387518
JPM,2020-01-02,139.79,141.09,141.10,139.26,10811019
JPM,2019-12-31,138.51,139.40,139.48,138.29,7201834
JPM,2019-12-30,139.90,138.63,140.08,138.47,6963342
JPM,2019-12-27,139.30,139.14,139.77,138.67,7868575
JPM,2019-12-26,137.89,139.04,139.10,137.78,6773034
JPM,2019-12-24,137.33,137.58,137.63,137.06,3324291
JPM,2019-12-23,137.60,137.20,137.91,136.88,9738524
JPM,2019-12-20,138.02,137.24,138.88,136.90,29993960
