ticker,date,open,close,high,low,volume
SNAP,2020-02-21,16.83,16.70,16.91,16.50,14460339
SNAP,2020-02-20,17.09,16.92,17.39,16.60,22831614
SNAP,2020-02-19,17.23,17.20,17.33,17.10,16805112
SNAP,2020-02-18,17.44,17.17,17.53,16.74,29742603
SNAP,2020-02-14,17.54,17.56,17.86,17.43,15255436
SNAP,2020-02-13,17.22,17.59,17.74,17.17,13770422
SNAP,2020-02-12,17.66,17.40,17.66,17.19,17627945
SNAP,2020-02-11,17.65,17.61,17.80,17.44,18698551
SNAP,2020-02-10,17.05,17.60,17.60,17.00,22060282
SNAP,2020-02-07,16.96,17.13,17.18,16.68,28828805
SNAP,2020-02-06,16.36,17.00,17.14,16.28,40145608
SNAP,2020-02-05,18.02,16.19,18.08,16.11,109380411
SNAP,2020-02-04,18.48,18.98,19.04,18.23,56952072
SNAP,2020-02-03,18.65,18.23,18.85,18.20,30530308
SNAP,2020-01-31,18.73,18.38,18.79,18.18,24963067
SNAP,2020-01-30,18.81,18.88,18.97,18.58,17175638
SNAP,2020-01-29,19.15,19.14,19.27,18.93,18193542
SNAP,2020-01-28,18.80,18.99,19.11,18.70,23612442
SNAP,2020-01-27,18.47,18.62,18.77,18.27,19065276
SNAP,2020-01-24,19.71,19.05,19.76,18.84,32866666
SNAP,2020-01-23,19.18,19.25,19.43,18.91,25071472
SNAP,2020-01-22,19.23,19.10,19.53,19.06,23406856
SNAP,2020-01-21,19.02,19.00,19.25,18.77,24782452
SNAP,2020-01-17,19.10,19.11,19.29,18.76,46317283
SNAP,2020-01-16,18.02,18.25,18.41,17.78,27082291
SNAP,2020-01-15,18.00,18.19,18.52,17.97,23381323
SNAP,2020-01-14,17.99,17.99,18.09,17.67,25409139
SNAP,2020-01-13,17.48,18.00,18.00,17.30,22446606
SNAP,2020-01-10,17.66,17.41,17.73,17.28,25643260
SNAP,2020-01-09,17.29,17.36,17.93,17.04,62798221
SNAP,2020-01-08,16.98,16.67,17.01,16.65,15611796
SNAP,2020-01-07,16.87,17.03,17.07,16.55,21450918
SNAP,2020-01-06,16.65,16.78,16.79,16.41,15980488
SNAP,2020-01-03,16.43,16.75,17.10,16.35,19783629
SNAP,2020-01-02,16.62,16.78,16.95,16.46,26096264
SNAP,2019-12-31,15.78,16.33,16.35,15.77,18055249
SNAP,2019-12-30,16.05,15.89,16.17,15.68,15615250
SNAP,2019-12-27,16.08,16.03,16.18,15.78,15000091
SNAP,2019-12-26,15.60,15.97,16.18,15.50,22710032
SNAP,2019-12-24,15.53,15.61,15.65,15.39,8907875
SNAP,2019-12-23,15.55,15.49,15.59,15.23,19972575
SNAP,2019-12-20,15.54,15.55,15.74,15.29,24978375
SNAP,2019-12-19,15.05,15.46,15.47,15.00,21127027
SNAP,2019-12-18,15.07,15.11,15.39,15.06,16838355
SNAP,2019-12-17,15.10,15.10,15.42,15.05,23302878
SNAP,2019-12-16,15.21,15.11,15.24,14.85,27311109
SNAP,2019-12-13,14.75,15.09,15.19,14.58,27837454
SNAP,2019-12-12,14.16,14.45,14.47,14.07,16450799
SNAP,2019-12-11,14.01,14.23,14.25,13.96,11705627
SNAP,2019-12-10,14.23,14.09,14.33,13.97,20385733
SNAP,2019-12-09,14.64,14.23,14.89,14.21,20272418
SNAP,2019-12-06,14.86,14.74,14.95,14.70,11223678
SNAP,2019-12-05,15.05,14.68,15.16,14.66,11987612
SNAP,2019-12-04,14.99,15.00,15.08,14.81,11210520
SNAP,2019-12-03,14.22,14.92,14.98,14.16,19249866
SNAP,2019-12-02,15.25,14.60,15.28,14.54,25337287
SNAP,2019-11-29,15.23,15.25,15.36,15.19,6311184
SNAP,2019-11-27,15.53,15.35,15.53,15.23,11531678
SNAP,2019-11-26,15.46,15.46,15.55,15.16,20548404
SNAP,2019-11-25,15.59,15.50,15.90,15.49,25680682
SNAP,2019-11-22,15.18,15.26,15.50,15.01,20997304
SNAP,2019-11-21,15.33,15.08,15.63,15.06,21572404
SNAP,2019-11-20,15.07,15.31,15.52,15.01,21039055
SNAP,2019-11-19,14.58,15.16,15.26,14.39,24848960
SNAP,2019-11-18,14.08,14.69,14.74,14.04,33326636
SNAP,2019-11-15,14.48,13.94,14.60,13.50,33510296
SNAP,2019-11-14,14.42,14.37,14.59,14.21,16352590
SNAP,2019-11-13,14.38,14.47,14.64,14.34,8472354
SNAP,2019-11-12,14.38,14.38,14.64,14.32,13020959
SNAP,2019-11-11,14.13,14.39,14.41,13.96,13129984
SNAP,2019-11-08,14.18,14.19,14.52,14.09,14253176
SNAP,2019-11-07,14.41,14.16,14.70,14.14,17196476
