Ticker,Date,Open,Close,High,Low,Volume
V,2020-02-21,209.90,208.81,210.22,207.42,9070490
V,2020-02-20,212.13,211.45,213.69,208.28,8531862
V,2020-02-19,212.52,213.31,214.17,211.72,5927543
V,2020-02-18,210.00,211.20,211.50,209.36,7652915
V,2020-02-14,208.29,210.29,210.78,208.01,6548804
V,2020-02-13,206.62,207.40,208.47,206.05,9495314
V,2020-02-12,205.00,207.44,208.15,205.00,7355774
V,2020-02-11,207.50,203.94,207.67,203.64,10231893
V,2020-02-10,201.97,205.99,206.13,201.86,6151766
V,2020-02-07,201.98,202.74,203.83,201.09,5691149
V,2020-02-06,203.05,203.04,204.63,202.48,7001184
V,2020-02-05,205.50,202.81,205.60,199.95,8584789
V,2020-02-04,203.50,203.56,204.92,202.23,8655397
V,2020-02-03,199.94,200.81,202.26,199.85,10887866
V,2020-01-31,201.49,198.97,203.98,198.26,16699567
V,2020-01-30,204.00,208.21,208.50,203.32,8571872
V,2020-01-29,204.30,204.86,205.92,202.51,7051852
V,2020-01-28,202.39,202.85,203.84,201.78,7215696
V,2020-01-27,200.00,201.69,203.33,199.10,7198865
V,2020-01-24,207.42,205.00,207.99,204.21,7812898
V,2020-01-23,207.90,206.52,208.40,205.30,8520798
V,2020-01-22,207.51,207.90,210.13,207.29,8065003
V,2020-01-21,204.13,207.29,208.39,203.80,14861652
V,2020-01-17,201.76,204.70,204.75,199.98,12518923
V,2020-01-16,201.00,200.95,201.50,199.78,9983741
V,2020-01-15,197.00,199.80,200.15,196.32,10831056
V,2020-01-14,196.74,196.05,196.95,195.14,6239663
V,2020-01-13,194.44,195.33,195.60,194.28,11292361
V,2020-01-10,193.50,193.77,194.57,193.11,6587582
V,2020-01-09,193.00,193.25,193.92,192.52,6749144
V,2020-01-08,189.49,191.92,192.50,188.80,5713315
V,2020-01-07,189.59,188.69,190.10,188.60,4414489
V,2020-01-06,188.00,189.19,189.21,187.16,10110573
V,2020-01-03,188.41,189.60,190.96,187.92,4900888
